"act_name","jurisdiction","Section","Heading","implement_type","responsible_official","discretion_type","Paragraph"
"Canada National Marine Conservation Areas Act","Federal","16","Marine matters","regulation","minister","discretionary","(3) Regulations under this section that restrict or prohibit marine navigation or activities related to marine safety, to the extent that such regulations can be made on the recommendation of the Minister of Transport under the Canada Shipping Act, 2001 or the Arctic Waters Pollution Prevention Act, may only be made on the recommendation of the Minister and the Minister of Transport."
"Canada National Marine Conservation Areas Act","Federal","18","Designation of marine conservation area wardens","designation; park; protected_area; appointment","minister; agency","discretionary","18 The Minister may designate persons appointed under the Parks Canada Agency Act whose duties include the enforcement of this Act to be marine conservation area wardens"
"Canada National Marine Conservation Areas Act","Federal","19","Designation of enforcement officers","regulation; code; designation","minister; authority","discretionary","19 The Minister may designate persons or classes of persons employed in the public service of Canada or by a provincial, municipal or local authority or an aboriginal government, whose duties include law enforcement, to be enforcement officers for the purpose of the enforcement of specified provisions of this Act or the regulations in specified marine conservation areas, and for that purpose enforcement officers have the powers and are entitled to the protection provided by law to peace officers within the meaning of the Criminal Code."
"Canada National Marine Conservation Areas Act","Federal","19.1","Contraventions Act","regulation; designation","minister; authority","discretionary","19.1 (1) The Minister may designate persons or classes of persons employed in the federal public administration or by a provincial, municipal or local authority or by an aboriginal government for the purpose of the enforcement of this Act or the regulations with respect to offences that have been designated as contraventions under the Contraventions Act."
"Canada National Marine Conservation Areas Act","Federal","19.1","Limitations regarding designations","designation","minister","discretionary","(2) The Minister may specify that a designation is in respect of one or more marine conservation areas or in respect of all or specified offences under this Act that have been designated as contraventions under the Contraventions Act."
"Canada National Marine Conservation Areas Act","Federal","20","Certificate of designation and oath","designation; protected_area; certificate","minister; officer","mandatory","20 (1) Every marine conservation area warden, enforcement officer and person designated under section 19.1 shall be provided with a certificate of designation in a form approved by the Minister and shall take and subscribe an oath prescribed by the Minister."
"Canada National Marine Conservation Areas Act","Federal","21","Arrest without warrant","code; protected_area","officer","discretionary","21 A marine conservation area warden or enforcement officer may, in accordance with the Criminal Code, arrest without warrant any person"
"Canada National Marine Conservation Areas Act","Federal","22","Search and seizure","protected_area","officer","discretionary","22 (1) A marine conservation area warden or enforcement officer may"
"Canada National Marine Conservation Areas Act","Federal","22","Authority to issue warrant","protected_area","officer","discretionary","the justice of the peace may issue a warrant authorizing a marine conservation area warden or enforcement officer named in the warrant to enter and search the place or to open and examine the package or receptacle, subject to any conditions specified in the warrant."
"Canada National Marine Conservation Areas Act","Federal","22","Where warrant not necessary","protected_area","officer","discretionary","(3) A marine conservation area warden or enforcement officer may exercise any powers under subsection (1) without a warrant if the conditions for obtaining a warrant exist but by reason of exigent circumstances it would not be practical to obtain one."
