cu_index,cu_species,cu_name,cu_area,cu_type,du_number,du_name,du_acronym,smu_area,smu_name,smu_id,smu_species,COSEWIC_threat_category,iucn_l2,rpa_threat_ranking,ranking_id
CK-3,Chinook,LOWER FRASER RIVER_FA_0.3,FRASER INTERIOR,Current,2,"Lower Fraser, Ocean, Fall (Harrison)",LFR+GStr/Ocean/Fall,FRASER INTERIOR,FRASER FALL RUN 41 CHINOOK SALMON,CK-FIA-02,Chinook,Biological resource use  (Fishing),"5.4 Fishing, Harvesting & Controlling Aquatic Species",High-Low,5
CK-3,Chinook,LOWER FRASER RIVER_FA_0.3,FRASER INTERIOR,Current,2,"Lower Fraser, Ocean, Fall (Harrison)",LFR+GStr/Ocean/Fall,FRASER INTERIOR,FRASER FALL RUN 41 CHINOOK SALMON,CK-FIA-02,Chinook,Climate change & severe weather  (Shifting habitats),11.2 Changes in Temperature Regimes,High-Low,5
CK-3,Chinook,LOWER FRASER RIVER_FA_0.3,FRASER INTERIOR,Current,2,"Lower Fraser, Ocean, Fall (Harrison)",LFR+GStr/Ocean/Fall,FRASER INTERIOR,FRASER FALL RUN 41 CHINOOK SALMON,CK-FIA-02,Chinook,Climate change & severe weather  (Shifting habitats),11.3 Changes in Precipitation & Hydrological Regimes,High-Low,5
CK-5,Chinook,LOWER FRASER RIVER-UPPER PITT_SU_1.3,FRASER INTERIOR,Current,4,"Lower Fraser, Stream. Summer  (Upper Pitt)",LFR+GStr/Stream/Summer (Upper Pitt),FRASER INTERIOR,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,Chinook,Biological resource use  (Fishing),"5.4 Fishing, Harvesting & Controlling Aquatic Species",High-Low,5
CK-6,Chinook,LOWER FRASER RIVER_SU_1.3,FRASER INTERIOR,Current,5,"Lower Fraser, Stream, Summer (Lillooet) ",LFR+GStr/Stream/Summer,FRASER INTERIOR,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,Chinook,Biological resource use  (Fishing),"5.4 Fishing, Harvesting & Controlling Aquatic Species",High-Low,5
CK-8,Chinook,MIDDLE FRASER-FRASER CANYON_SP_1.3,FRASER INTERIOR,Current,7,"Middle Fraser, Stream, Spring (FRCanyon)",FRCanyGStr/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Biological resource use  (Fishing),"5.4 Fishing, Harvesting & Controlling Aquatic Species",High-Low,5
CK-9,Chinook,MIDDLE FRASER RIVER-PORTAGE_FA_1.3,FRASER INTERIOR,Current,8,"Middle Fraser, Stream, Fall (Portage)",MFR+GStr/Stream/Fall,FRASER INTERIOR,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,Chinook,Biological resource use  (Fishing),"5.4 Fishing, Harvesting & Controlling Aquatic Species",High-Low,5
CK-1,Chinook,OKANAGAN_0.X,FRASER INTERIOR,Current,69,"Okanagan River,Ocean, Summer",OK+ORWA/Ocean/Fall,FRASER INTERIOR,OKANAGAN CHINOOK SALMON,CK-FIA-01,Chinook,Fire & fire suppression,7.1 Fire & Fire Management,Low,1
CK-1,Chinook,OKANAGAN_0.X,FRASER INTERIOR,Current,69,"Okanagan River,Ocean, Summer",OK+ORWA/Ocean/Fall,FRASER INTERIOR,OKANAGAN CHINOOK SALMON,CK-FIA-01,Chinook,Mining & quarrying,3.2 Mining & Quarrying,Low,1
CK-1,Chinook,OKANAGAN_0.X,FRASER INTERIOR,Current,69,"Okanagan River,Ocean, Summer",OK+ORWA/Ocean/Fall,FRASER INTERIOR,OKANAGAN CHINOOK SALMON,CK-FIA-01,Chinook,Introduced genetic material,8.3 Introduced Genetic Material,Low,1
