paragraph_id,legislation_id,section,heading,paragraph
256,2,19,Registration restrictions,"(a) a subdivision plan, reference plan, explanatory plan or other plan showing subdivision of land;"
257,2,19,Registration restrictions,(b) a statutory right of way plan allowed under section 114 of the Land Title Act.
258,2,19,Registration restrictions,"(2) Unless the subdivision of agricultural land is permitted under this Act, a Registrar of Titles must not, under the Land Title Act or the Strata Property Act, do either of the following things if it would cause the subdivision of agricultural land:"
259,2,19,Registration restrictions,(a) accept an application for the deposit of a plan;
260,2,19,Registration restrictions,(b) permit a new parcel of land to be created by a metes and bounds description or an abbreviated description.
261,2,20,Non-farm use of land within agricultural land reserve,20		  (1) A person must not use agricultural land for a non-farm use unless permitted under section 25 or 45 or the regulations.
262,2,20,Non-farm use of land within agricultural land reserve,(2) A person may apply to the commission for permission under section 25 for a non-farm use of agricultural land if the person
263,2,20,Non-farm use of land within agricultural land reserve,"(a) is an owner of the agricultural land, or"
264,2,20,Non-farm use of land within agricultural land reserve,"(b) has a right of entry, granted under an enactment, to the agricultural land."
265,2,20.1,Residential use of agricultural land,"20.1
		  (1) Unless permitted under section 20.2, 25 or 45 or the regulations, an owner of agricultural land who constructs, alters or uses a residential structure on the agricultural land must comply with all of the following:"
266,2,20.1,Residential use of agricultural land,(a) the agricultural land may have no more than one residence per parcel;
267,2,20.1,Residential use of agricultural land,(b) the total floor area of a principal residence must be 500 m2 or less;
268,2,20.1,Residential use of agricultural land,"(c) the residential structure must be sized, sited and used, in accordance with all applicable regulations."
269,2,20.1,Residential use of agricultural land,(2) An owner may apply
270,2,20.1,Residential use of agricultural land,"(a) to the commission for permission under section 25 for a non-adhering residential use, or"
271,2,20.1,Residential use of agricultural land,(b) in the manner set out in the regulations for a variation of or exemption from a regulation with respect to size or siting.
272,2,20.2,Pre-existing residential structures,"20.2
		  (1) In this section:"
273,2,20.2,Pre-existing residential structures,"""as designed"" means as stated or shown in"
274,2,20.2,Pre-existing residential structures,"(a) a design, proposal or other plan approved under or accepted in support of an authorization, or"
275,2,20.2,Pre-existing residential structures,"(b) a design or plan finalized, before the date this section comes into force, by an architect or engineer or, if none, the designer of the residence, if no authorizations are needed to construct or alter the residence;"
