legislation_id,jurisdiction,legislation_type,act_name,legislation_name,url,agencies,current_to_date
88,Provincial,Code,,Forest Practices Code of British Columbia Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96159_01,,2025-08-26
2,Provincial,Act,Agricultural Land Commission Act,Agricultural Land Commission Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02036_01,Agriculture and Food,2025-04-22
3,Provincial,Regulations,Agricultural Land Commission Act,Agricultural Land Reserve General Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/57_2020,Agriculture and Food,2020-03-12
4,Provincial,Regulations,Agricultural Land Commission Act,Agricultural Land Reserve Use Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/30_2019,Agriculture and Food,2019-02-22
7,Provincial,Act,Animal Health Act,Animal Health Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/14016,Agriculture and Food,2025-05-20
8,Provincial,Regulations,Animal Health Act,Animal Products and Byproducts Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/2_2015,Agriculture and Food,2015-01-19
161,Provincial,Regulations,Animal Health Act,Reportable and Notifiable Disease Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/7_2015,Agriculture and Food,2015-01-19
15,Provincial,Act,Assessment Act,Assessment Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96020_01,Finance,2025-04-22
21,Federal,Act,Canada National Marine Conservation Areas Act,Canada National Marine Conservation Areas Act,https://laws-lois.justice.gc.ca/eng/acts/C-7.3/index.html,Minister of the Environment,2025-03-17
22,Federal,Act,Canada National Parks Act,Canada National Parks Act,https://laws-lois.justice.gc.ca/eng/acts/N-14.01/index.html,Minister of the Environment,2025-05-05
95,Federal,Order,Canada National Parks Act,Gwaii Haanas National Park Reserve Order,https://laws-lois.justice.gc.ca/eng/regulations/SOR-96-93/index.html,Minister of the Environment,2025-03-17
120,Federal,Regulations,Canada National Parks Act,National Historic Parks General Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-82-263/index.html,Minister of the Environment,2025-03-31
121,Federal,Regulations,Canada National Parks Act,National Parks General Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-78-213/index.html,Minister of the Environment,2025-03-31
124,Federal,Regulations,Canada National Parks Act,National Parks Wildlife Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-81-401/index.html,Minister of the Environment,2025-03-31
122,Federal,Regulations,Canada National Parks Act,National Parks of Canada Fishing Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1120/index.html",Minister of the Environment,2025-05-05
123,Federal,Regulations,Canada National Parks Act,National Parks of Canada Water and Sewer Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1134/index.html",Minister of the Environment,2025-03-31
23,Federal,Act,Canada Oil And Gas Operations Act,Canada Oil and Gas Operations Act,https://laws-lois.justice.gc.ca/eng/acts/O-7/index.html,Minister of Natural Resources; Minister of Northern Affairs,2025-03-17
17,Federal,Regulations,"Canada Shipping Act, 2001",Ballast Water Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2021-120/page-1.html,Minister of Fisheries and Oceans; Minister of Transport,2025-03-17
24,Federal,Act,"Canada Shipping Act, 2001","Canada Shipping Act, 2001",https://laws-lois.justice.gc.ca/eng/acts/C-10.15/index.html,Minister of Fisheries and Oceans; Minister of Transport,2025-03-17
39,Federal,Regulations,"Canada Shipping Act, 2001",Cross-border Movement of Hazardous Waste and Hazardous Recyclable Material Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2021-25/index.html,Minister of Fisheries and Oceans; Minister of Transport,2025-03-17
67,Federal,Regulations,"Canada Shipping Act, 2001",Environmental Response Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-252/index.html,Minister of Fisheries and Oceans; Minister of Transport,2025-03-31
79,Federal,Regulations,"Canada Shipping Act, 2001",Fishing Vessel Safety Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1486/index.html",Minister of Fisheries and Oceans; Minister of Transport,2025-03-31
181,Federal,Regulations,"Canada Shipping Act, 2001",Vessel Pollution and Dangerous Chemicals Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2012-69/index.html,Minister of Fisheries and Oceans; Minister of Transport,2025-09-29
25,Federal,Act,Canada Water Act,Canada Water Act,https://laws-lois.justice.gc.ca/eng/acts/C-11/index.html,Minister of the Environment,2025-03-17
26,Federal,Act,Canada Water Agency Act,Canada Water Agency Act,https://laws-lois.justice.gc.ca/eng/acts/C-11.001/index.html,Minister of the Environment,2025-03-17
27,Federal,Act,Canada Wildlife Act,Canada Wildlife Act,https://laws-lois.justice.gc.ca/eng/acts/W-9/index.html,Minister of the Environment,2025-03-17
28,Federal,Act,Canadian Energy Regulator Act,Canadian Energy Regulator Act,https://laws-lois.justice.gc.ca/eng/acts/C-15.1/index.html,Minister of Natural Resources,2025-03-17
29,Federal,Act,"Canadian Environmental Protection Act, 1999","Canadian Environmental Protection Act, 1999",https://laws-lois.justice.gc.ca/eng/acts/C-15.31/index.html,Minister of the Environment,2025-05-05
46,Federal,Regulations,"Canadian Environmental Protection Act, 1999",Disposal at Sea Permit Application Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2014-177/index.html,Minister of the Environment,2025-03-31
47,Federal,Regulations,"Canadian Environmental Protection Act, 1999",Disposal at Sea Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2001-275/index.html,Minister of the Environment,2025-03-31
64,Federal,Regulations,"Canadian Environmental Protection Act, 1999","Environmental Emergency Regulations, 2019",https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-51/index.html,Minister of the Environment,2025-03-31
116,Federal,Regulations,"Canadian Environmental Protection Act, 1999",Microbeads in Toiletries Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-111/index.html,Minister of the Environment,2025-03-31
128,Federal,Regulations,"Canadian Environmental Protection Act, 1999",New Substances Notification Regulations (Organisms),https://laws-lois.justice.gc.ca/eng/regulations/SOR-2005-248/index.html,Minister of the Environment,2025-03-31
138,Federal,Regulations,"Canadian Environmental Protection Act, 1999",PCB Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2008-273/index.html,Minister of the Environment,2025-03-31
141,Federal,Regulations,"Canadian Environmental Protection Act, 1999",Persistence and Bioaccumulation Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2000-107/index.html,Minister of the Environment,2025-03-31
151,Federal,Regulations,"Canadian Environmental Protection Act, 1999","Prohibition of Certain Toxic Substances Regulations, 2012",https://laws-lois.justice.gc.ca/eng/regulations/SOR-2012-285/index.html,Minister of the Environment,2025-03-31
