paragraph_id,actionable_type,responsible_official,discretion_type
26961,order; approval; certificate; assessment,Agency; agency; Board; ministers,discretionary
27003,report; assessment,Chief; Officer,mandatory
27006,agreement; assessment,Minister,discretionary
27015,order; certificate; assessment,Minister,discretionary
27035,order; certificate; assessment,Chief; Minister; Officer,discretionary
27036,certificate; assessment,Chief; Officer,discretionary; mandatory
27046,assessment,Chief; Officer,discretionary
27047,assessment,Chief; Officer,discretionary
27064,agreement; assessment,Chief; Officer,discretionary
27079,order; certificate; exemption; assessment,Chief; Officer,discretionary
27086,certificate; assessment,Chief; Officer,discretionary
27095,order; agreement; certificate; exemption; assessment,Minister,discretionary
27096,order; agreement; certificate; exemption; assessment,Minister,discretionary
27136,certificate; assessment,Chief; Officer,discretionary; mandatory
27185,,Minister; Office,discretionary
27193,order; certificate; exemption; assessment,Chief; Officer,discretionary
27196,order; certificate; exemption; report; assessment,Auditor,mandatory
27199,order; certificate; exemption; report; assessment,Auditor,mandatory
29276,designation,Chief; Officer,discretionary
29284,,Officer,discretionary
29295,,Officer,discretionary
29307,,Officer,discretionary
29310,,Officer,discretionary
29418,regulation; order; plan; permit; licence; approval,Officer,discretionary
29427,,Officer,discretionary; mandatory
29478,certificate,Officer,discretionary; mandatory
29679,designation; agreement,Chief; Minister; Officer,discretionary
29684,,Minister,discretionary
29698,order_in_council,governor; Lieutenant,discretionary
29699,order_in_council; permit,governor; Lieutenant,discretionary
29778,regulation; order_in_council,governor; Lieutenant,discretionary
27793,order; plan; permit; licence; approval,Minister,discretionary
27833,order_in_council; authorization; permit; authorization,governor; Lieutenant,discretionary; mandatory
27883,plan; approval,Minister,mandatory
27887,notice,Minister,discretionary
27890,regulation; plan,Minister,discretionary
27891,plan,Minister,discretionary
27892,order; plan,Minister,discretionary
27969,plan; review,Minister,discretionary
27970,regulation; plan; certificate,Minister,discretionary
27979,order_in_council; designation,Board; governor; Lieutenant,discretionary
27991,order_in_council,governor; Lieutenant,discretionary
27992,bylaw,Board,discretionary
27998,bylaw,Board,discretionary
27999,,Board,mandatory
28011,bylaw,Minister,discretionary; mandatory
28022,,Minister,discretionary
28025,report,Minister,discretionary
28034,bylaw; authorization; authorization,Minister,discretionary; mandatory
28051,order; order_in_council; bylaw; plan; permit; approval,governor; Lieutenant,discretionary
28329,,Minister,discretionary
28460,authorization; agreement; authorization,Minister,discretionary
28461,regulation,Minister,discretionary
28478,,Minister,discretionary
28481,order; authorization; authorization,Minister; Officer,discretionary
28484,,Minister; Officer,discretionary
28486,,Minister,discretionary; mandatory
28500,,Minister; Office,discretionary
28537,regulation; order_in_council,governor; Lieutenant,discretionary
28566,order_in_council; exemption,governor; Lieutenant,discretionary
28569,regulation,Minister,discretionary
28601,exemption,Minister,discretionary
28603,regulation,Minister,discretionary
28807,regulation; assessment,Minister,discretionary; mandatory
28812,order,Minister,discretionary
28817,order; plan,Minister,discretionary
28823,order,Minister,discretionary
28836,order,Minister,discretionary
28853,,Minister,discretionary
28873,order; order_in_council; plan,governor; Lieutenant; Minister,discretionary
28934,order; authorization; plan; permit; authorization,Minister,discretionary
29158,,Advisory; Committee; Minister,discretionary
29159,,Advisory; Committee; Minister,discretionary
29163,,Advisory; Board; Committee; Minister,mandatory
29164,report,Assembly; Minister,mandatory
30251,order_in_council; designation,governor; Lieutenant,discretionary
30538,licence,Officer,discretionary
30539,licence,Officer,discretionary
30692,,inspector,discretionary
30698,,inspector,discretionary
30702,notice,inspector,mandatory
30818,agreement,Minister,discretionary
30833,,Minister,discretionary
30870,certificate,Minister,discretionary; mandatory
30914,order,Minister,discretionary
30932,regulation; order_in_council,governor; Lieutenant,discretionary
30489,permit,Officer,discretionary
31014,regulation; order_in_council; exemption,governor; Lieutenant,discretionary
31716,agreement,Agency; agency; Department; Minister,discretionary
31717,licence,Minister,discretionary
31727,licence; certificate,Minister; Officer,mandatory
31730,authorization; authorization,Minister,discretionary
31734,authorization; authorization,Minister,discretionary; mandatory
31749,permit,Officer,discretionary
31753,order,Minister; Officer,discretionary
31756,notice,Minister,discretionary
31769,authorization; plan; authorization,Department; Minister,discretionary
31806,standard,Agency; agency; Department; Minister,discretionary
31829,regulation,Minister,discretionary
31856,designation,Minister,discretionary
31857,designation,Minister,mandatory
31862,regulation; order_in_council; designation,governor; Minister,discretionary
31869,order; plan,Minister,mandatory
31874,authorization; authorization,Minister,mandatory
31942,order; report,inspector; Officer,discretionary
31952,,inspector; Officer,discretionary
31957,,inspector; Officer,discretionary
32051,,Minister,discretionary
32074,report,Minister; parliament,mandatory
32126,authorization; authorization,Officer,discretionary
32130,regulation,Minister,discretionary
32132,regulation; order_in_council; exemption,governor,discretionary
32136,regulation,Minister,discretionary
32148,regulation; licence,Minister,mandatory
32149,regulation; licence,Minister,discretionary
32170,regulation,Officer,discretionary
32175,,Officer,discretionary
32183,,Officer,discretionary
32189,,Officer,discretionary; mandatory
32195,,Officer,discretionary
32197,,Officer,discretionary
31668,designation,Minister; Officer; parliament,discretionary
31669,designation; certificate,Minister; Officer; parliament,discretionary; mandatory
31670,designation; certificate,Officer; parliament,mandatory
31676,,Officer,discretionary
32198,regulation,Officer,discretionary
32199,,Commission; Officer,discretionary
32202,authorization; authorization,Officer,discretionary
32213,authorization; authorization,Minister,discretionary
32215,regulation; order_in_council; authorization; authorization,governor; Province,discretionary
31677,,Minister,mandatory
31678,,Minister,mandatory
31680,plan,Minister,mandatory
31681,order; plan,Minister,discretionary
32237,designation,Officer,discretionary; mandatory
